GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mercado,br.ufpb.dsc.corrida.user,GlobalModelAdvice,0,42,0,6,0,10,0,7,0,4
mercado,br.ufpb.dsc.corrida.user,UsuarioController,8,160,0,10,3,37,0,19,0,14
mercado,br.ufpb.dsc.corrida.user,Genero,0,44,0,0,0,5,0,1,0,1
mercado,br.ufpb.dsc.corrida.user,NivelCondicionamento,0,34,0,0,0,4,0,1,0,1
mercado,br.ufpb.dsc.corrida.user,UsuarioViewController,30,193,9,13,5,41,9,10,1,7
mercado,br.ufpb.dsc.corrida.user,Papel,0,34,0,0,0,4,0,1,0,1
mercado,br.ufpb.dsc.corrida.user,AuthService,14,3,2,0,4,1,2,1,1,1
mercado,br.ufpb.dsc.corrida.user,UsuarioService,0,238,2,20,0,43,2,18,0,9
mercado,br.ufpb.dsc.corrida.user,UserInfoService,56,307,10,20,13,70,11,16,1,11
mercado,br.ufpb.dsc.corrida.user,User,40,82,10,0,7,22,7,6,2,6
mercado,br.ufpb.dsc.corrida.race,BeneficioCorridaConverter,17,0,4,0,3,0,5,0,3,0
mercado,br.ufpb.dsc.corrida.race,GeocodingApiController,8,3,0,0,2,1,1,1,1,1
mercado,br.ufpb.dsc.corrida.race,StatusCorrida,0,44,0,0,0,5,0,1,0,1
mercado,br.ufpb.dsc.corrida.race,CorridaManagementController,77,57,3,1,18,14,4,4,2,4
mercado,br.ufpb.dsc.corrida.race,CorridaViewController,0,291,0,6,0,69,0,12,0,9
mercado,br.ufpb.dsc.corrida.race,CorridaService,27,471,6,20,0,108,10,23,4,16
mercado,br.ufpb.dsc.corrida.race,CorridaManagementController.new PropertyEditorSupport() {...},4,22,2,2,2,6,2,2,0,2
mercado,br.ufpb.dsc.corrida.race,OpenRouteServiceClient,69,140,0,0,17,27,1,4,1,4
mercado,br.ufpb.dsc.corrida.race,BeneficioCorrida,3,100,0,0,1,12,1,2,1,2
mercado,br.ufpb.dsc.corrida.race,CategoriaCorrida,3,67,0,0,1,9,1,2,1,2
mercado,br.ufpb.dsc.corrida.userConections,UserConnectionService,10,224,1,11,1,52,2,16,1,11
mercado,br.ufpb.dsc.corrida.organizer,OrganizerService,15,137,1,3,2,28,3,5,2,4
mercado,br.ufpb.dsc.corrida.organizer,OrganizerViewController,67,72,1,1,16,14,1,4,0,4
mercado,br.ufpb.dsc.corrida.audit,AuditContextUtils,31,11,8,2,8,5,6,2,1,2
mercado,br.ufpb.dsc.corrida.audit,AuditLogEvent,0,22,0,0,0,8,0,4,0,4
mercado,br.ufpb.dsc.corrida.audit,AuditAspect,6,549,22,102,3,149,22,51,0,11
mercado,br.ufpb.dsc.corrida.audit,AuditConfig,0,3,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.corrida.audit,AuditLogListener,19,3,0,0,4,1,1,1,1,1
mercado,br.ufpb.dsc.corrida.home,HomeController,2,3,0,0,1,1,1,1,1,1
